Name,Ticker,Date: Morningstar Rating,"Morningstar 
Rating 
Overall","Morningstar 
Fair Value 
Status",Morningstar Fair Value Per Share,Fair Value Uncertainty,"Stock Capital Allocation 
Rating",Date: Economic Moat,Economic Moat,Moat Trend,"Moat Source 
- Cost Advantage","Moat Source 
- Efficient Scale","Moat Source 
- Intangible Assets","Moat Source 
- Network Effect","Moat Source 
- Switch Cost",Morningstar Quantitative Rating Date,Morningstar Quantitative Rating Overall,Date: Quantitative Valuation,Quantitative Moat,Quantitative Valuation,Quantitative Valuation Uncertainty,Quantitative Financial Health,"Quantitative Fair Value 
Estimate 
USD","Morningstar 
Credit Rating 
Date","Morningstar 
Credit Rating",Date: Morningstar Grades,Growth Grade,Profitability Grade,Financial Health Grade,Probability of Default,Solvency Score,Bear Market Rank Decile,"Business Risk 
Pillar","Solvency Score 
Pillar","Cash Flow Cushion 
Pillar",Stress Test Pillar,Momentum Score %,Consider Buying,Consider Selling
Fifth Third Bancorp,FITB,7/5/2022,4,Active,45,Medium,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,Very High,Strong,46.03,,,7/5/2022,C,D,C,0.01,,9,,,,,62.7,31.5,60.75
First Republic Bank,FRC,7/5/2022,4,Active,185,Medium,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Strong,202.84,,,7/5/2022,B,C,C,0.02,,9,,,,,15.29,129.5,249.75
FirstEnergy Corp,FE,7/5/2022,4,Active,42,Low,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Moderate,41.01,,,7/5/2022,D,B,B,0,728.43,9,,,,,79.51,33.6,52.5
Fiserv Inc,FISV,7/5/2022,4,Active,129,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,Medium,Moderate,114.14,,,7/5/2022,B,D,B,0,586.91,6,,,,,40.61,90.3,174.15
Fleetcor Technologies Inc,FLT,,,,,,,,,,,,,,,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,239.41,,,7/5/2022,C,C,B,0,482.33,6,,,,,48.37,,
FMC Corp,FMC,7/5/2022,4,Active,140,Medium,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,122.68,,,7/5/2022,B,C,B,0,448.77,6,,,,,84.42,98,189
Ford Motor Co,F,7/5/2022,5,Active,24,High,Standard,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,22.85,,,7/5/2022,D,B,C,0.05,640.82,9,,,,,54.89,14.4,37.2
Fortinet Inc,FTNT,7/5/2022,4,Active,68,High,Standard,7/5/2022,Wide,Positive,No,No,No,Yes,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,68.23,,,7/5/2022,B,A,B,0,310,7,,,,,57.18,40.8,105.4
Fortive Corp,FTV,7/5/2022,5,Active,85,Medium,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,75.89,,,7/5/2022,C,D,B,0,470.46,6,,,,,23.6,59.5,114.75
Fortune Brands Home & Security Inc,FBHS,7/5/2022,5,Active,99,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,92.23,,,7/5/2022,B,C,C,0,367.16,9,,,,,15.78,69.3,133.65
Fox Corp Class A,FOXA,7/5/2022,4,Active,43,High,Standard,7/5/2022,Narrow,Negative,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,42.74,,,7/5/2022,C,D,B,0,438.76,,,,,,60.49,25.8,66.65
Fox Corp Class B,FOX,7/5/2022,4,Active,43,High,Standard,7/5/2022,Narrow,Negative,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,39.47,,,7/5/2022,C,D,B,0,438.76,,,,,,58.59,25.8,66.65
Franklin Resources Inc,BEN,7/5/2022,4,Active,29,High,Exemplary,7/5/2022,Narrow,Negative,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,30.64,,,7/5/2022,C,C,C,0,367.15,8,,,,,36.19,17.4,44.95
Freeport-McMoRan Inc,FCX,,,,,,,2/6/2019,None,,,,,,,7/5/2022,5,7/5/2022,None,Undervalued,Very High,Moderate,42.83,,,7/5/2022,C,C,C,0,248.36,8,,,,,65.88,,
Garmin Ltd,GRMN,7/5/2022,5,Active,150,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Strong,142.09,,,7/5/2022,B,C,A,0,,7,,,,,75.1,105,202.5
Gartner Inc,IT,,,,,,,8/14/2009,Narrow,,,,,,,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,266.87,,,7/5/2022,C,A,B,0,461.06,9,,,,,38.51,,
Generac Holdings Inc,GNRC,7/5/2022,4,Active,275,High,Standard,7/5/2022,Narrow,Negative,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,316.73,,,7/5/2022,B,C,C,0,305.92,8,,,,,4.68,165,426.25
General Dynamics Corp,GD,7/5/2022,3,Active,215,Medium,Standard,7/5/2022,Wide,Stable,No,Yes,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Moderate,218.51,,,7/5/2022,C,C,B,0,417.35,6,,,,,82.61,150.5,290.25
General Electric Co,GE,7/5/2022,5,Active,126,High,Exemplary,7/5/2022,Narrow,Stable,Yes,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Narrow,Undervalued,Very High,Moderate,102.21,,,7/5/2022,D,F,C,0.02,867.39,8,,,,,20.3,75.6,195.3
General Mills Inc,GIS,7/5/2022,2,Active,70,Low,Standard,7/5/2022,Narrow,Negative,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Moderate,75.59,,,7/5/2022,C,C,B,0,473.08,4,,,,,82.84,56,87.5
General Motors Co,GM,7/5/2022,5,Active,70,High,Standard,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,Very High,Moderate,64.82,,,7/5/2022,D,B,C,0.03,535.7,7,,,,,16.43,42,108.5
Genuine Parts Co,GPC,7/5/2022,3,Active,137,Medium,Standard,7/5/2022,Narrow,Positive,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Medium,Moderate,133.44,,,7/5/2022,C,C,B,0,411.49,5,,,,,61.74,95.9,184.95
Gilead Sciences Inc,GILD,7/5/2022,4,Active,81,Medium,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,70.17,,,7/5/2022,C,C,B,0,460.16,4,,,,,42.13,56.7,109.35
Global Payments Inc,GPN,7/5/2022,5,Active,186,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,165.14,,,7/5/2022,C,D,C,0,547.21,6,,,,,36.22,130.2,251.1
Globe Life Inc,GL,,,,,,,4/11/2016,Narrow,,,,,,,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,104.47,,,7/5/2022,C,D,B,0,,8,,,,,72.93,,
Halliburton Co,HAL,7/5/2022,3,Active,33,High,Exemplary,7/5/2022,Narrow,Negative,Yes,No,Yes,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,33.84,,,7/5/2022,D,F,C,0,477.87,8,,,,,99.09,19.8,51.15
Hasbro Inc,HAS,7/5/2022,4,Active,103,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Moderate,92.93,,,7/5/2022,C,D,B,0,532.58,7,,,,,44.39,72.1,139.05
HCA Healthcare Inc,HCA,7/5/2022,4,Active,239,High,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,226.69,,,7/5/2022,C,,C,0,,9,,,,,39.2,143.4,370.45
Healthpeak Properties Inc,PEAK,7/5/2022,4,Active,36,Medium,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,34.83,,,7/5/2022,C,D,B,0,652.49,3,,,,,38.14,25.2,48.6
Henry Schein Inc,HSIC,,,,,,,4/15/2021,None,,,,,,,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,83.31,,,7/5/2022,B,C,B,0,294.32,8,,,,,68.51,,
Hess Corp,HES,7/5/2022,3,Active,89,High,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Moderate,94.13,,,7/5/2022,C,F,C,0,544.9,7,,,,,94.95,53.4,137.95
Hewlett Packard Enterprise Co,HPE,7/5/2022,3,Active,14,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,15.99,,,7/5/2022,C,B,C,0,405.53,6,,,,,69.77,8.4,21.7
Hilton Worldwide Holdings Inc,HLT,7/5/2022,4,Active,128,Medium,Standard,7/5/2022,Narrow,Positive,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Moderate,126.24,,,7/5/2022,D,,C,0,590.7,8,,,,,65.38,89.6,172.8
Hologic Inc,HOLX,7/5/2022,3,Active,70,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Low,Strong,72.46,,,7/5/2022,B,B,B,0,233.42,8,,,,,47.85,49,94.5
Honeywell International Inc,HON,7/5/2022,4,Active,231,Medium,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Strong,190.38,,,7/5/2022,C,A,B,0,386.51,8,,,,,35.56,161.7,311.85
Hormel Foods Corp,HRL,7/5/2022,2,Active,37.5,Medium,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,2,7/5/2022,Narrow,Overvalued,Medium,Strong,42.92,,,7/5/2022,C,D,A,0,309.66,5,,,,,75.42,26.25,50.63
Host Hotels & Resorts Inc,HST,7/5/2022,3,Active,18.5,High,Standard,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,19.27,,,7/5/2022,D,D,B,0,590.79,3,,,,,76.69,11.1,28.68
Howmet Aerospace Inc,HWM,,,,,,,1/26/2021,None,,,,,,,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,32.81,,,7/5/2022,D,C,B,0,603.49,9,,,,,71.95,,
HP Inc,HPQ,7/5/2022,3,Active,29,High,Standard,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Fairly Valued,High,Moderate,31.43,,,7/5/2022,B,,C,0,803.83,6,,,,,84.07,17.4,44.95
Humana Inc,HUM,7/5/2022,3,Active,485,Medium,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,Yes,No,7/5/2022,4,7/5/2022,Narrow,Fairly Valued,Medium,Moderate,493.9,,,7/5/2022,B,C,B,0,,6,,,,,60.5,339.5,654.75
Huntington Bancshares Inc,HBAN,7/5/2022,4,Active,16,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,None,Undervalued,High,Strong,16.23,,,7/5/2022,C,D,C,0.01,,10,,,,,49.5,11.2,21.6
Huntington Ingalls Industries Inc,HII,7/5/2022,3,Active,223,Medium,Standard,7/5/2022,Narrow,Negative,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Moderate,233.73,,,7/5/2022,C,C,B,0,460.82,5,,,,,62.8,156.1,301.05
IDEX Corp,IEX,7/5/2022,4,Active,222,Medium,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,Medium,Strong,201.68,,,7/5/2022,C,C,B,0,273,6,,,,,32.62,155.4,299.7
IDEXX Laboratories Inc,IDXX,7/5/2022,3,Active,326,Medium,Exemplary,7/5/2022,Narrow,Positive,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,373.16,,,7/5/2022,B,A,B,0,309.87,7,,,,,7.75,228.2,440.1
Illinois Tool Works Inc,ITW,7/5/2022,4,Active,205,Medium,Exemplary,7/5/2022,Narrow,Stable,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Strong,195.65,,,7/5/2022,C,A,A,0,331.03,7,,,,,42.19,143.5,276.75
Illumina Inc,ILMN,7/5/2022,4,Active,377,Very High,Exemplary,7/5/2022,Narrow,Positive,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Narrow,Undervalued,Very High,Moderate,302.91,,,7/5/2022,C,D,B,0,349.32,8,,,,,7.26,188.5,659.75
Incyte Corp,INCY,7/5/2022,4,Active,105,High,Standard,7/5/2022,Narrow,Positive,No,No,Yes,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Strong,91.1,,,7/5/2022,B,B,A,0,126.83,4,,,,,60.22,63,162.75
Ingersoll Rand Inc,IR,7/5/2022,4,Active,60,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,57.39,,,7/5/2022,C,D,B,0,389.77,7,,,,,38.35,42,81
Intel Corp,INTC,7/5/2022,5,Active,65,High,Standard,7/5/2022,Wide,Negative,Yes,No,Yes,No,No,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Strong,57.65,,,7/5/2022,C,C,B,0,215.75,3,,,,,33.44,39,100.75
Intercontinental Exchange Inc,ICE,7/5/2022,4,Active,130,Medium,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,Yes,No,7/5/2022,5,7/5/2022,Wide,Undervalued,Medium,Moderate,129.49,,,7/5/2022,B,C,D,0.13,468.66,9,,,,,45.04,91,175.5
International Business Machines Corp,IBM,7/5/2022,2,Active,126,Medium,Poor,7/5/2022,Narrow,Negative,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Moderate,132.98,,,7/5/2022,D,C,B,0,564.13,7,,,,,64.14,88.2,170.1
International Flavors & Fragrances Inc,IFF,7/5/2022,4,Active,150,Medium,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,154.13,,,7/5/2022,C,D,B,0,550.24,6,,,,,35.84,105,202.5
International Paper Co,IP,7/5/2022,4,Active,52,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,Medium,Moderate,49.92,,,7/5/2022,D,D,C,0,472.92,7,,,,,39.52,31.2,80.6
Intuit Inc,INTU,7/5/2022,4,Active,511,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,No,Yes,Yes,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,519.79,,,7/5/2022,B,D,B,0,265.63,7,,,,,17.62,357.7,689.85
Intuitive Surgical Inc,ISRG,7/5/2022,3,Active,204,High,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,Yes,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,219.35,,,7/5/2022,B,C,A,0,,9,,,,,11.43,122.4,316.2
Invesco Ltd,IVZ,7/5/2022,4,Active,20,High,Standard,7/5/2022,Narrow,Negative,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,22.27,,,7/5/2022,C,D,C,0.01,456.42,9,,,,,24.87,12,31
IQVIA Holdings Inc,IQV,7/5/2022,4,Active,276,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,244.07,,,7/5/2022,B,C,B,0,594.07,6,,,,,32.31,193.2,372.6
Iron Mountain Inc,IRM,,,,,,,10/29/2019,Narrow,,,,,,,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Moderate,50.45,,,7/5/2022,C,B,B,0,720.97,7,,,,,76.88,,
Jack Henry & Associates Inc,JKHY,7/5/2022,3,Active,167,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,No,No,Yes,7/5/2022,2,7/5/2022,Wide,Overvalued,Medium,Strong,164.64,,,7/5/2022,C,C,A,0,208.42,6,,,,,70.61,116.9,225.45
Jacobs Engineering Group Inc,J,7/5/2022,4,Active,152,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,Medium,Moderate,137.16,,,7/5/2022,B,C,B,0,524.91,6,,,,,49.11,91.2,235.6
JB Hunt Transport Services Inc,JBHT,7/5/2022,3,Active,151,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,Yes,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Moderate,167.49,,,7/5/2022,B,C,B,0,288.56,7,,,,,62.69,105.7,203.85
JM Smucker Co,SJM,7/5/2022,4,Active,144,Medium,Poor,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,Medium,Moderate,141.37,,,7/5/2022,C,D,B,0,516.86,3,,,,,71.66,100.8,194.4
Johnson & Johnson,JNJ,7/5/2022,2,Active,167,Low,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Low,Strong,171.09,,,7/5/2022,C,B,A,0,269.1,7,,,,,67.46,133.6,208.75
Johnson Controls International PLC,JCI,7/5/2022,4,Active,68,High,Standard,7/5/2022,Narrow,Stable,Yes,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,68.13,,,7/5/2022,C,C,B,0,543.46,7,,,,,25.34,40.8,105.4
JPMorgan Chase & Co,JPM,7/5/2022,4,Active,151,Medium,Exemplary,7/5/2022,Wide,Stable,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,Very High,Strong,155.16,,,7/5/2022,C,C,D,0.09,,8,,,,,24.66,105.7,203.85
Juniper Networks Inc,JNPR,7/1/2022,3,Active,25,,Standard,7/1/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,33.37,,,7/5/2022,C,D,B,0,470.85,7,,,,,76.91,15,38.75
Kellogg Co,K,7/5/2022,4,Active,82,Medium,Standard,7/5/2022,Wide,Negative,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Moderate,75.39,,,7/5/2022,C,C,B,0,483.61,6,,,,,66.97,57.4,110.7
Keurig Dr Pepper Inc,KDP,7/5/2022,3,Active,33,Medium,Standard,7/5/2022,Narrow,Negative,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Low,Moderate,35.27,,,7/5/2022,F,D,B,0,535.26,5,,,,,68.52,23.1,44.55
KeyCorp,KEY,7/5/2022,5,Active,26,Medium,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,Very High,Strong,23.91,,,7/5/2022,C,C,C,0.01,,10,,,,,60.97,18.2,35.1
Keysight Technologies Inc,KEYS,7/5/2022,4,Active,174,High,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,162.29,,,7/5/2022,C,B,B,0,265.41,6,,,,,25.34,104.4,269.7
Kimberly-Clark Corp,KMB,7/5/2022,3,Active,126,Medium,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,2,7/5/2022,Wide,Overvalued,Low,Moderate,122.84,,,7/5/2022,C,,A,0,452.83,4,,,,,56.39,88.2,170.1
Kimco Realty Corp,KIM,7/5/2022,4,Active,26.5,Medium,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,Medium,Moderate,25.72,,,7/5/2022,C,C,C,0,410.49,6,,,,,73.26,18.55,35.78
Kinder Morgan Inc Class P,KMI,7/5/2022,3,Active,17.5,Medium,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,18.99,,,7/5/2022,C,C,B,0,693.14,5,,,,,76.17,12.25,23.63
KLA Corp,KLAC,7/5/2022,4,Active,396,Medium,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,Yes,No,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,374.02,,,7/5/2022,B,B,B,0,263.17,5,,,,,51.23,277.2,534.6
L3Harris Technologies Inc,LHX,7/5/2022,3,Active,233,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Medium,Moderate,241.26,,,7/5/2022,B,D,B,0,418.19,4,,,,,66.73,163.1,314.55
Laboratory Corp of America Holdings,LH,7/5/2022,4,Active,271,Medium,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,279.77,,,7/5/2022,B,C,B,0,309.28,6,,,,,28.59,189.7,365.85
Lam Research Corp,LRCX,7/5/2022,5,Active,720,High,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,632.69,,,7/5/2022,B,A,B,0,241.33,7,,,,,23.63,432,"1,116.00"
Lamb Weston Holdings Inc,LW,7/5/2022,2,Active,61,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Moderate,71.79,,,7/5/2022,C,,B,0,562.75,6,,,,,65.18,42.7,82.35
Las Vegas Sands Corp,LVS,7/5/2022,4,Active,50,Very High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,46.09,,,7/5/2022,F,D,C,0,575.32,6,,,,,53.97,25,87.5
Leidos Holdings Inc,LDOS,,,,,,,10/14/2013,Narrow,,,,,,,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,105.74,,,7/5/2022,B,C,B,0,531.57,5,,,,,62.99,,
Lennar Corp Class A,LEN,7/5/2022,4,Active,115,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,118.68,,,7/5/2022,B,C,C,0,260.58,7,,,,,16.53,69,178.25
Lincoln National Corp,LNC,,,,,,,2/4/2011,None,,,,,,,7/5/2022,4,7/5/2022,None,Undervalued,Very High,Moderate,65.91,,,7/5/2022,B,D,F,0.5,,10,,,,,43.26,,
Linde PLC,LIN,7/5/2022,4,Active,333,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,293.57,,,7/5/2022,C,D,B,0,435.7,5,,,,,52.79,233.1,449.55
Live Nation Entertainment Inc,LYV,7/5/2022,4,Active,105,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,110.94,,,7/5/2022,D,,C,0,941.84,7,,,,,68.2,63,162.75
LKQ Corp,LKQ,7/5/2022,3,Active,46,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,57.69,,,7/5/2022,C,C,B,0,338.63,8,,,,,44.22,32.2,62.1
Lockheed Martin Corp,LMT,7/5/2022,3,Active,445,Medium,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Low,Moderate,425.76,,,7/5/2022,C,B,B,0,351.86,5,,,,,86.62,311.5,600.75
Loews Corp,L,,,,,,,8/26/2013,None,,,,,,,7/5/2022,4,7/5/2022,None,Undervalued,High,Moderate,65.13,,,7/5/2022,C,D,B,0,,7,,,,,78.26,,
Lowe's Companies Inc,LOW,7/5/2022,4,Active,209,Medium,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,209.28,,,7/5/2022,B,,B,0,378.61,6,,,,,48.31,146.3,282.15
Lumen Technologies Inc Ordinary Shares,LUMN,7/5/2022,4,Active,16,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,16.9,,,7/5/2022,D,F,C,0.01,574.99,9,,,,,45.72,9.6,24.8
LyondellBasell Industries NV,LYB,,,,,,,6/14/2017,Narrow,,,,,,,7/5/2022,4,7/5/2022,None,Undervalued,High,Moderate,94.67,,,7/5/2022,C,C,C,0,313.77,7,,,,,68.77,,
M&T Bank Corp,MTB,7/5/2022,3,Active,178,Medium,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Strong,174.65,,,7/5/2022,C,C,C,0.01,,8,,,,,86.08,124.6,240.3
Marathon Oil Corp,MRO,7/5/2022,3,Active,19,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,23.09,,,7/5/2022,C,F,C,0,402.25,10,,,,,99.51,11.4,29.45
Marathon Petroleum Corp,MPC,7/5/2022,3,Active,87,Very High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,High,Moderate,91.51,,,7/5/2022,C,C,C,0,398.74,10,,,,,96.69,43.5,152.25
MarketAxess Holdings Inc,MKTX,7/5/2022,4,Active,345,High,Exemplary,7/5/2022,Wide,Stable,No,No,No,Yes,No,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Strong,303.56,,,7/5/2022,B,C,A,0,189.82,5,,,,,11.08,207,534.75
Marriott International Inc Class A,MAR,7/5/2022,4,Active,164,Medium,Standard,7/5/2022,Narrow,Positive,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Moderate,155.97,,,7/5/2022,D,A,B,0,573.79,10,,,,,75.04,114.8,221.4
Marsh & McLennan Companies Inc,MMC,7/5/2022,2,Active,130,Medium,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,2,7/5/2022,Wide,Overvalued,Medium,Moderate,143.69,,,7/5/2022,C,C,A,0,416.49,9,,,,,59.82,91,175.5
Martin Marietta Materials Inc,MLM,7/5/2022,3,Active,315,High,Exemplary,7/5/2022,Narrow,Stable,Yes,No,Yes,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,329.4,,,7/5/2022,C,D,B,0,440.79,7,,,,,47.25,189,488.25
Masco Corp,MAS,7/5/2022,5,Active,75,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,62.94,,,7/5/2022,B,,B,0,507.02,7,,,,,34.88,52.5,101.25
