Name,Ticker,SEC CIK,Exchange,Exchange Country,Business Country,Company Name,Company Id,SecId,CUSIP,ISIN,Industry,"Return Date 
(Daily)",Last Close,"Market Cap (mil) 
(Daily) 
USD",Earnings Yield (Daily),P/E Ratio (TTM) (Long),"Price 52 Wk High 
USD","Price 52 Wk Low 
USD",Price/Fair Value,"Latest 
Dividend 
Date","Latest Dividend 
USD",Share Split,Dividend Declare Date,Dividend Record Date,Dividend Payable Date,"Grossed Up Dividend 
Amount",Dividend Yield % TTM,"Grossed Up Dividend 
Yield % TTM",Forward Dividend Yield %,Earnings Yield % TTM,Forward Earnings Yield %,Current Return %,Date: Inc Statement TTM,EPS TTM,"Revenue (mil) 
TTM 
USD","Net Income (mil) 
TTM 
USD","Dividend per Share 
TTM 
USD","Base 
Currency",Primary Share,Primary Share for Company,Sector,NAICS,SIC,Hemscott Industry,GICS Sub-Industry,GICS Industry,GICS Industry Group,GICS Sector,Russell Sector,Russell Sub-Sector,Russell Industry,MSCI Country,"Equity 
Style Box (Long)",Stock Type,Analyst Name,Analysis Date,Security Type,"Equity Profile 
Report Date",IPO Date,IPO Offer Price,"Note Effective 
Date",Delisting Date,Delisting Reason,"India Market 
Cap Date",India Market Cap,Indian Stock Category,ICB Industry,ICB Supersector,ICB Sector,ICB Subsector,Market Industry Code - JP,Market Industry Name - JP,Local Short Trading Name,Local Legal Trading Name,"ESG Risk 
Rating Assessment",Submarket,ADR
Marsh & McLennan Companies Inc,MMC,62709,"New York Stock Exchange, Inc.",United States,United States,Marsh & McLennan Companies Inc,0C0000088G,0P000003GV,,,Insurance Brokers,7/5/2022,156.2,"78,398.92",0.04,24.56,183.14,137.85,1.2,4/5/2022,0.54,"[1980-11-12]	1.000000	2.000000;[1986-05-15]	1.000000	2.000000;[1997-06-30]	1.000000	2.000000;[1998-06-29]	2.000000	3.000000;[2002-07-01]	1.000000	2.000000;",3/23/2022,4/6/2022,5/13/2022,,1.37,,1.37,4.05,4.29,-0.16,3/31/2022,6.32,"20,286.00","3,231.00",2.61,US Dollar,Yes,Yes,Financial Services,Insurance Agencies and Brokerages;;;;,"INSURANCE AGENTS, BROKERS & SERVICE;;;",,,,,,Financial Services,Insurance,Insurance: Multi-line,,Large Blend,Cyclical,"Brett Horn, CFA",2/22/2022,Common Stock,,6/4/1969,,,,,,,,,,,,,,,,,,No
Martin Marietta Materials Inc,MLM,916076,"New York Stock Exchange, Inc.",United States,United States,Martin Marietta Materials Inc,0C0000088N,0P000003H2,,,Building Materials,7/5/2022,300.64,"18,749.56",0.04,28.34,446.46,284.99,0.95,5/31/2022,0.61,,5/12/2022,6/1/2022,6/30/2022,,0.81,,0.81,3.51,4.42,1.55,3/31/2022,10.52,"5,662.40",658.6,2.4,US Dollar,Yes,Yes,Basic Materials,Construction Sand and Gravel Mining;;,";;;;CONCRETE PRODUCTS, EXCEPT BLOCK & BRICK;",,,,,,Materials & Processing,Building Materials,Building materials,,Mid Blend,Cyclical,Dawit Woldemariam,5/4/2022,Common Stock,,2/16/1994,,,,,,,,,,,,,,,,,,No
Masco Corp,MAS,62996,"New York Stock Exchange, Inc.",United States,United States,Masco Corp,0C0000088R,0P000003H7,,,Building Products & Equipment,7/5/2022,52.66,"12,424.62",0.04,22.49,71.06,46.27,0.7,5/26/2022,0.28,"[1971-11-23]	1.000000	2.000000;[1975-12-30]	1.000000	2.000000;[1982-12-30]	1.000000	2.000000;[1986-05-20]	1.000000	2.000000;[1998-07-13]	1.000000	2.000000;",5/13/2022,5/27/2022,6/13/2022,,1.96,,2.13,4.27,8.09,2.03,3/31/2022,2.25,"8,606.00",548,0.99,US Dollar,Yes,Yes,Industrials,;;;;;Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers;;,;;;;;PLUMBING & HYDRONIC HEATING SUPPLIES;;;,,,,,,Materials & Processing,Building Materials,Building materials,,Mid Blend,Slow Growth,"Brian Bernard, CFA, CPA",4/27/2022,Common Stock,,5/5/1969,,,,,,,,,,,,,,,,,,No
Mastercard Inc Class A,MA,1141391,"New York Stock Exchange, Inc.",United States,United States,Mastercard Inc,0C00000KP8,0P00005U6B,,,Credit Services,7/5/2022,319.26,"310,526.55",0.03,32.83,399.92,303.65,0.87,7/7/2022,0.49,"[2014-01-22]	1.000000	10.000000",6/20/2022,7/8/2022,8/9/2022,,0.58,,0.61,3.01,3.25,0.32,3/31/2022,9.61,"19,896.00","9,490.00",2.3,US Dollar,Yes,Yes,Financial Services,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","BUSINESS SERVICES, N.E.C.",,,,,,Financial Services,Consumer Finance & Credit Services,Financial data & systems,,Large Growth,Cyclical,"Brett Horn, CFA",2/14/2022,Common Stock,,5/25/2006,,,,,,,,,,,,,,,,,,No
Match Group Inc,MTCH,891103,Nasdaq - All Markets,United States,United States,Match Group Inc,0C00000BDF,0P000002RE,,,Internet Content & Information,7/5/2022,74.16,"21,179.56",0.01,72.59,182,67.25,0.69,11/10/2015,0.16,"[1998-03-27]	1.000000	2.000000;[2000-02-25]	1.000000	2.000000;[2005-08-09]	2.000000	1.000000;[2008-08-21]	2.000000	1.000000;",10/26/2015,11/15/2015,12/1/2015,,,,,1.29,3.74,3.73,3/31/2022,0.96,"3,114.30",284.01,0,US Dollar,Yes,Yes,Communication Services,;Internet Publishing and Broadcasting and Web Search Portals;;;;;;,";;;;;;SERVICES, N.E.C.;",,,,,,Technology,Information Technology,Computer services software and systems,,Mid Growth,Slow Growth,Ali Mogharabi,6/7/2022,Common Stock,5/11/2012,12/28/1992,,,,,,,,,,,,,,,,,,No
McCormick & Co Inc Registered Shs Non Vtg,MKC,63754,"New York Stock Exchange, Inc.",United States,United States,McCormick & Co Inc,0C000008A0,0P000003IF,,,Packaged Foods,7/5/2022,84.1,"22,559.65",0.03,32.91,107.35,77.85,1.33,7/8/2022,0.37,"[1972-03-21]	1.000000	2.000000;[1977-03-22]	1.000000	2.000000;[1988-04-28]	1.000000	2.000000;[1990-01-22]	1.000000	2.000000;[1992-01-21]	1.000000	2.000000;[2002-04-09]	1.000000	2.000000;",6/28/2022,7/11/2022,7/25/2022,,1.69,,1.76,3.01,3.69,1.73,5/31/2022,2.53,"6,338.90",683.2,1.42,US Dollar,Yes,Yes,Consumer Defensive,;;;Spice and Extract Manufacturing;;;;;;,";;;FOOD PREPARATIONS, N.E.C.;;;;;",,,,,,Consumer Staples,"Food, Beverage & Tobacco",Foods,,Mid Blend,Classic Growth,"Erin Lash, CFA",3/30/2022,Common Stock,,3/11/1987,,,,,,,,,,,,,,,,,,No
McDonald's Corp,MCD,63908,"New York Stock Exchange, Inc.",United States,United States,McDonald's Corp,0C000008A4,0P000003IJ,,,Restaurants,7/5/2022,252.29,"186,580.30",0.04,26.07,271.15,217.68,1.11,6/3/2022,1.38,"[1971-06-14]	2.000000	3.000000;[1972-06-06]	1.000000	2.000000;[1982-10-07]	2.000000	3.000000;[1984-09-25]	2.000000	3.000000;[1986-06-26]	2.000000	3.000000;[1987-06-23]	2.000000	3.000000;[1989-06-19]	1.000000	2.000000;[1994-06-27]	1.000000	2.000000;[1999-03-08]	1.000000	2.000000;",5/26/2022,6/6/2022,6/20/2022,,2.15,,2.19,3.75,3.9,-0.26,3/31/2022,9.47,"23,763.90","7,112.40",5.34,US Dollar,Yes,Yes,Consumer Cyclical,;Limited-Service Restaurants;,EATING PLACES,,,,,,Consumer Discretionary,Leisure,Restaurants,,Large Blend,Cyclical,Sean Dunlop,4/29/2022,Common Stock,,7/5/1966,,,,,,,,,,,,,,,,,,No
McKesson Corp,MCK,927653,"New York Stock Exchange, Inc.",United States,United States,McKesson Corp,0C000008A9,0P000003IM,,,Medical Distribution,7/5/2022,322.38,"46,287.60",0.02,44.93,339.94,186.61,1.37,5/31/2022,0.47,"[1998-01-05]	1.000000	2.000000",4/28/2022,6/1/2022,7/1/2022,,0.58,,0.58,2.25,7.23,-2.17,3/31/2022,7.23,"263,966.00","1,114.00",1.83,US Dollar,Yes,Yes,Healthcare,;;Drugs and Druggists' Sundries Merchant Wholesalers;;,";;DRUGS, DRUG PROPRIETARIES, & DRUGGISTS' SUNDRIES;;;;",,,,,,Consumer Staples,"Personal Care, Drug & Grocery Stores",Drug and grocery store chains,,Large Blend,Classic Growth,"Karen Andersen, CFA",6/14/2022,Common Stock,,8/3/1987,,,,,,,,,,,,,,,,,,No
Medtronic PLC,MDT,1613103,"New York Stock Exchange, Inc.",United States,United States,Medtronic PLC,0C000008BI,0P000003JU,,IE00BTN1Y115,Medical Devices,7/5/2022,90.49,"120,234.91",0.04,24.06,135.89,86.95,0.7,6/23/2022,0.68,"[1972-09-01]	1.000000	2.000000;[1980-08-01]	1.000000	2.000000;[1989-08-31]	1.000000	2.000000;[1991-08-30]	1.000000	2.000000;[1994-09-30]	1.000000	2.000000;[1995-09-29]	1.000000	2.000000;[1997-09-15]	1.000000	2.000000;[1999-09-27]	1.000000	2.000000;",5/26/2022,6/24/2022,7/15/2022,,2.84,,3.01,4.12,6.19,-0.97,4/30/2022,3.73,"31,686.00","5,039.00",2.52,US Dollar,Yes,Yes,Healthcare,Electromedical and Electrotherapeutic Apparatus Manufacturing;;;,;;ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS;,,,,,,Healthcare,Medical Equipment And Services,Medical equipment,,Large Blend,,Debbie S. Wang,5/26/2022,Common Stock,,7/28/1980,,,,,,,,,,,,,,,,,,No
Merck & Co Inc,MRK,310158,"New York Stock Exchange, Inc.",United States,United States,Merck & Co Inc,0C000008C5,0P000003KE,,,Drug Manufacturers - General,7/5/2022,92.64,"234,268.50",0.06,16.64,95.72,70.89,0.99,6/14/2022,0.69,"[1972-06-01]	1.000000	2.000000;[1986-05-27]	1.000000	2.000000;[1988-05-26]	1.000000	3.000000;[1992-05-26]	1.000000	3.000000;[1999-02-17]	1.000000	2.000000;",5/24/2022,6/15/2022,7/8/2022,,2.94,,2.98,5.92,7.96,0.24,3/31/2022,5.59,"53,978.00","14,180.00",2.68,US Dollar,Yes,Yes,Healthcare,Pharmaceutical Preparation Manufacturing,PHARMACEUTICAL PREPARATIONS,,,,,,Healthcare,Pharmaceuticals & Biotech,Pharmaceuticals,,Large Blend,Classic Growth,"Damien Conover, CFA",6/20/2022,Common Stock,,4/20/1949,,,,,,,,,,,,,,,,,,No
Meta Platforms Inc Class A,META,1326801,Nasdaq - All Markets,United States,United States,Meta Platforms Inc,0C000098V0,0P0000W3KZ,,,Internet Content & Information,7/5/2022,168.19,"455,176.53",0.08,12.23,384.33,154.25,0.44,,,,,,,,,,,7.84,7.12,5.1,3/31/2022,13.19,"119,666.00","37,338.00",,US Dollar,Yes,Yes,Communication Services,All Other Information Services,INFORMATION RETRIEVAL SERVICES,,,,,,Technology,Information Technology,Computer services software and systems,,Large Blend,Aggressive Growth,Ali Mogharabi,5/23/2022,Common Stock,5/11/2012,5/18/2012,38,,,,,,,,,,,,,,,,,No
MetLife Inc,MET,1099219,"New York Stock Exchange, Inc.",United States,United States,MetLife Inc,0C000008DE,0P000003LS,,,Insurance - Life,7/5/2022,62.34,"50,695.26",0.12,8.14,73.18,55.21,1.11,5/9/2022,0.5,,4/25/2022,5/10/2022,6/14/2022,,3.11,,3.21,12.37,11.59,-2.1,3/31/2022,7.71,"66,404.00","6,865.00",1.92,US Dollar,Yes,Yes,Financial Services,Direct Life Insurance Carriers;;;;;;;;,LIFE INSURANCE;;;;;;;;,,,,,,Financial Services,Insurance,Insurance: Multi-line,,Large Value,Slow Growth,"Rajiv Bhatia, CFA",6/1/2022,Common Stock,,4/5/2000,,,,,,,,,,,,,,,,,,No
Mettler-Toledo International Inc,MTD,1037646,"New York Stock Exchange, Inc.",United States,United States,Mettler-Toledo International Inc,0C000008DG,0P000003LU,,,Diagnostics & Research,7/5/2022,"1,175.47","26,660.02",0.03,33.78,"1,714.75","1,082.78",1.53,,,,,,,,,,,2.89,3.46,1.17,3/31/2022,34.01,"3,811.33",793.32,,US Dollar,Yes,Yes,Healthcare,;;;;;Medical Laboratories;,;;;;MEDICAL LABORATORIES;,,,,,,Producer Durables,Scientific Instruments & Services,Scientific instruments: Gauges and meters,,Mid Growth,Classic Growth,Aaron Degagne,2/11/2022,Common Stock,,11/14/1997,,,,,,,,,,,,,,,,,,No
MGM Resorts International,MGM,789570,"New York Stock Exchange, Inc.",United States,United States,MGM Resorts International,0C000008DQ,0P000003DO,,,Resorts & Casinos,7/5/2022,30.36,"12,934.95",0.1,9.52,51.17,26.41,0.65,6/9/2022,0,"[2000-02-28]	1.000000	2.000000;[2005-05-19]	1.000000	2.000000;",5/2/2022,6/10/2022,6/15/2022,,0.03,,0.03,10.01,1.88,1.2,3/31/2022,3.04,"10,886.70","1,568.18",0.01,US Dollar,Yes,Yes,Consumer Cyclical,;Casino Hotels;;,;HOTELS & MOTELS;;,,,,,,Consumer Discretionary,Leisure,Casinos and gambling,,Mid Growth,Cyclical,Dan Wasiolek,6/16/2022,Common Stock,,11/12/1997,,,,,,,,,,,,,,,,,,No
Microchip Technology Inc,MCHP,827054,Nasdaq - All Markets,United States,United States,Microchip Technology Inc,0C000008DZ,0P000003M7,,,Semiconductors,7/5/2022,56.14,"31,129.70",0.04,25.59,90,54.33,0.68,5/19/2022,0.28,"[1993-09-14]	1.000000	2.000000;[1994-04-05]	2.000000	3.000000;[1994-11-09]	2.000000	3.000000;[1997-01-07]	2.000000	3.000000;[2000-02-08]	2.000000	3.000000;[2000-09-27]	2.000000	3.000000;[2002-05-09]	2.000000	3.000000;",5/9/2022,5/20/2022,6/3/2022,,1.74,,1.97,4.04,9.53,-0.04,3/31/2022,2.27,"6,820.90","1,285.50",0.91,US Dollar,Yes,Yes,Technology,Semiconductor and Related Device Manufacturing,SEMICONDUCTORS & RELATED DEVICES,,,,,,Technology,Electronics,Semiconductors and components,,Mid Blend,Cyclical,"Brian Colello, CPA",2/3/2022,Common Stock,5/11/2012,3/26/1993,,,,,,,,,,,,,,,,,,No
Micron Technology Inc,MU,723125,Nasdaq - All Markets,United States,United States,Micron Technology Inc,0C000008E7,0P000003MC,,,Semiconductors,7/5/2022,56.73,"62,581.42",0.15,6.3,98.45,51.4,0.63,7/8/2022,0.12,"[1994-04-19]	1.000000	2.500000;[1995-05-23]	1.000000	2.000000;[2000-05-02]	1.000000	2.000000;",6/30/2022,7/11/2022,7/26/2022,,0.53,,0.81,15.46,12.48,5.74,5/31/2022,8.77,"32,389.00","9,915.00",0.3,US Dollar,Yes,Yes,Technology,Semiconductor and Related Device Manufacturing;;,SEMICONDUCTORS & RELATED DEVICES;;,,,,,,Technology,Electronics,Semiconductors and components,,Large Blend,Cyclical,"Abhinav Davuluri, CFA",3/29/2022,Common Stock,5/11/2012,5/16/1989,,,,,,,,,,,,,,,,,,No
Microsoft Corp,MSFT,789019,Nasdaq - All Markets,United States,United States,Microsoft Corp,0C000008EC,0P000003MH,,,Software - Infrastructure,7/5/2022,262.85,"1,965,863.86",0.04,26.81,349.67,241.51,0.75,8/17/2022,0.62,"[1987-09-21]	1.000000	2.000000;[1990-04-16]	1.000000	2.000000;[1991-06-27]	2.000000	3.000000;[1992-06-15]	2.000000	3.000000;[1994-05-23]	1.000000	2.000000;[1996-12-09]	1.000000	2.000000;[1998-02-23]	1.000000	2.000000;[1999-03-29]	1.000000	2.000000;[2003-02-18]	1.000000	2.000000;",6/14/2022,8/18/2022,9/8/2022,,0.92,,0.94,3.64,4.1,1.26,3/31/2022,9.58,"192,557.00","72,456.00",2.36,US Dollar,Yes,Yes,Technology,;Software Publishers;;;,PREPACKAGED SOFTWARE;;,,,,,,Technology,Information Technology,Computer services software and systems,,Large Growth,Aggressive Growth,"Dan Romanoff, CPA",1/25/2022,Common Stock,5/11/2012,3/13/1986,,,,,,,,,,,,,,,,,,No
Mid-America Apartment Communities Inc,MAA,912595,"New York Stock Exchange, Inc.",United States,United States,Mid-America Apartment Communities Inc,0C000008EK,0P000003MO,,,REIT - Residential,7/5/2022,171.84,"19,835.08",0.03,33.85,231.63,158.86,,7/14/2022,1.25,,5/17/2022,7/15/2022,7/29/2022,,2.46,,2.91,3,4.78,-2.06,3/31/2022,5.16,"1,829.16",597.4,4.16,US Dollar,Yes,Yes,Real Estate,Lessors of Residential Buildings and Dwellings,REAL ESTATE INVESTMENT TRUSTS,,,,,,Financial Services,Real Estate Investment Trusts (REITs),Equity REIT: Residential,,Mid Blend,Hard Assets,,,Common Stock,,1/28/1994,,,,,,,,,,,,,,,,,,No
Moderna Inc,MRNA,1682852,Nasdaq - All Markets,United States,United States,Moderna Inc,0C0000BJB3,0P0001F631,,,Biotechnology,7/5/2022,155.54,"61,867.52",0.22,4.2,497.49,115.61,0.67,,,,,,,,,,,21.88,16.01,3.73,3/31/2022,34.03,"22,600.00","14,638.00",,US Dollar,Yes,Yes,Healthcare,Pharmaceutical Preparation Manufacturing,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC SUBSTANCES",,,,,,Healthcare,Pharmaceuticals & Biotech,Biotechnology,,Large Value,Speculative Growth,"Karen Andersen, CFA",3/24/2022,Common Stock,,12/7/2018,23,,,,,,,,,,,,,,,,,No
Mohawk Industries Inc,MHK,851968,"New York Stock Exchange, Inc.",United States,United States,Mohawk Industries Inc,0C000008GG,0P000003OI,,,"Furnishings, Fixtures & Appliances",7/5/2022,125.96,"8,003.43",0.12,8.08,211.75,114.96,,,,"[1993-08-25]	2.000000	3.000000;[1997-12-05]	2.000000	3.000000;",,,,,,,,12.19,12.04,-2.33,3/31/2022,15.36,"11,547.25","1,041.68",,US Dollar,Yes,Yes,Consumer Cyclical,Carpet and Rug Mills,CARPETS & RUGS,,,,,,Consumer Discretionary,Consumer Products,Household furnishings,,Mid Value,Cyclical,,,Common Stock,,4/1/1992,,,,,,,,,,,,,,,,,,No
Molina Healthcare Inc,MOH,1179929,"New York Stock Exchange, Inc.",United States,United States,Molina Healthcare Inc,0C000008GL,0P000003ON,,,Healthcare Plans,7/5/2022,278.61,"16,354.41",0.04,23.8,350.19,243.32,,,,"[2011-05-23]	2.000000	3.000000",,,,,,,,4.22,6.17,-1.52,3/31/2022,11.75,"29,019.00",689,,US Dollar,Yes,Yes,Healthcare,Direct Health and Medical Insurance Carriers,HOSPITAL & MEDICAL SERVICE PLANS,,,,,,Healthcare,Health Care Services,Health care management services,,Mid Blend,Speculative Growth,,,Common Stock,,7/2/2003,,,,,,,,,,,,,,,,,,No
Molson Coors Beverage Co Shs -B- Non-Voting,TAP,24545,"New York Stock Exchange, Inc.",United States,United States,Molson Coors Beverage Co,0C000008GM,0P000003OO,,,Beverages - Brewers,7/5/2022,55.34,"12,012.92",0.09,11.06,57.75,42.46,0.8,6/2/2022,0.38,"[2007-10-04]	1.000000	2.000000",5/19/2022,6/3/2022,6/15/2022,,2.6,,2.75,8.91,7.01,-0.5,3/31/2022,4.93,"10,595.90","1,073.10",1.06,US Dollar,Yes,Yes,Consumer Defensive,Breweries,MALT BEVERAGES,,,,,,Consumer Staples,"Food, Beverage & Tobacco",Beverage: Brewers and distillers,,Mid Value,Slow Growth,"Jaime M. Katz, CFA",6/1/2022,Common Stock,,6/10/1975,,,,,,,,,,,,,,,,,,No
Mondelez International Inc Class A,MDLZ,1103982,Nasdaq - All Markets,United States,United States,Mondelez International Inc,0C000007ZZ,0P0000036D,,,Confectioners,7/5/2022,62.48,"86,467.55",0.05,20.91,69.47,57.63,0.99,6/29/2022,0.35,,5/18/2022,6/30/2022,7/14/2022,,2.24,,2.24,4.75,4.71,-1.36,3/31/2022,2.97,"29,246.00","4,194.00",1.37,US Dollar,Yes,Yes,Consumer Defensive,;;;;Other Snack Food Manufacturing;;,";;;;FROZEN BAKERY PRODUCTS, EXCEPT BREAD;;;;",,,,,,Consumer Staples,"Food, Beverage & Tobacco",Foods,,Large Blend,Classic Growth,,5/5/2022,Common Stock,,6/13/2001,,,,,,,,,,,,,,,,,,No
Monolithic Power Systems Inc,MPWR,1280452,Nasdaq - All Markets,United States,United States,Monolithic Power Systems Inc,0C000008GX,0P000003OZ,,,Semiconductors,7/5/2022,368.76,"17,200.07",0.02,66.79,580,348.02,0.68,6/29/2022,0.75,,6/16/2022,6/30/2022,7/15/2022,,0.73,,0.81,1.56,3.09,1.04,3/31/2022,5.75,"1,331.06",276.18,2.55,US Dollar,Yes,Yes,Technology,Semiconductor and Related Device Manufacturing,SEMICONDUCTORS & RELATED DEVICES,,,,,,Technology,Electronics,Semiconductors and components,,Mid Growth,Cyclical,William Kerwin,5/2/2022,Common Stock,5/11/2012,11/19/2004,,,,,,,,,,,,,,,,,,No
Monster Beverage Corp,MNST,865752,Nasdaq - All Markets,United States,United States,Monster Beverage Corp,0C00000B73,0P000002L4,,,Beverages - Non-Alcoholic,7/5/2022,96.11,"50,906.72",0.03,36.64,99.89,71.78,1.17,,,"[1988-02-29]	1.000000	0.020000;[2005-08-09]	1.000000	2.000000;[2006-07-10]	1.000000	4.000000;[2012-02-16]	1.000000	2.000000;",,,,,,,,2.63,2.87,1.61,3/31/2022,2.53,"5,816.11","1,356.48",,US Dollar,Yes,Yes,Consumer Defensive,;Soft Drink Manufacturing;,BOTTLED & CANNED SOFT DRINKS& CARBONATED WATERS,,,,,,Consumer Staples,"Food, Beverage & Tobacco",Beverage: Soft drinks,,Large Growth,Aggressive Growth,"Zain Akbari, CFA",3/31/2022,Common Stock,5/11/2012,8/18/1995,,,,,,,,,,,,,,,,,,No
Moody's Corporation,MCO,1059556,"New York Stock Exchange, Inc.",United States,United States,Moody's Corporation,0C000008H5,0P000003P7,,,Financial Data & Stock Exchanges,7/5/2022,280.05,"51,669.23",0.04,25.75,407.94,251.01,0.8,5/19/2022,0.7,"[1987-06-10]	1.000000	2.000000;[2005-05-19]	1.000000	2.000000;",5/2/2022,5/20/2022,6/10/2022,,0.94,,1,3.77,3.58,1.87,3/31/2022,10.56,"6,140.00","1,976.00",2.56,US Dollar,Yes,Yes,Financial Services,;Securities and Commodity Exchanges;;;;,;CREDIT REPORTING SERVICES;;,,,,,,Financial Services,Consumer Finance & Credit Services,Financial data & systems,,Large Growth,Cyclical,"Rajiv Bhatia, CFA",7/5/2022,Common Stock,,5/23/1996,,,,,,,,,,,,,,,,,,No
Morgan Stanley,MS,895421,"New York Stock Exchange, Inc.",United States,United States,Morgan Stanley,0C000008HA,0P000003PC,,,Capital Markets,7/5/2022,76.11,"133,138.01",0.1,9.68,109.73,72.23,0.8,4/28/2022,0.7,"[1989-02-28]	2.000000	3.000000;[1991-08-28]	1.000000	2.000000;[1997-01-15]	1.000000	2.000000;[2000-01-27]	1.000000	2.000000;",4/14/2022,4/29/2022,5/13/2022,,3.68,,3.68,10.33,9.72,-0.83,3/31/2022,7.86,"55,524.00","14,580.00",2.45,US Dollar,Yes,Yes,Financial Services,;;Securities Brokerage;;;;;,";SECURITY BROKERS, DEALERS, & FLOTATION COMPANIES;;;;;;",,,,,,Financial Services,Investment Banking & Brokerage,Diversified financial services,,Large Value,Cyclical,"Michael Wong, CFA, CPA",3/31/2022,Common Stock,,3/21/1986,,,,,,,,,,,,,,,,,,No
Motorola Solutions Inc,MSI,68505,"New York Stock Exchange, Inc.",United States,United States,Motorola Solutions Inc,0C000008HL,0P000003PN,,,Communication Equipment,7/5/2022,212.23,"35,505.44",0.03,28.71,273.65,195.18,1.09,6/14/2022,0.79,"[1973-06-04]	1.000000	2.000000;[1984-06-04]	1.000000	3.000000;[1993-01-19]	1.000000	2.000000;[1994-04-19]	1.000000	2.000000;[2000-06-02]	1.000000	3.000000;[2011-01-04]	7.000000	1.000000;",5/16/2022,6/15/2022,7/15/2022,,1.45,,1.49,3.44,4.61,1.02,3/31/2022,7.3,"8,290.00","1,268.00",3,US Dollar,Yes,Yes,Technology,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing;;;,RADIO & TV COMMUNICATION EQUIPMENT;;;,,,,,,Technology,Telecommunication,Telecommunications equipment,,Large Blend,Cyclical,William Kerwin,2/9/2022,Common Stock,,9/20/1991,,,,,,,,,,,,,,,,,,No
MSCI Inc,MSCI,1408198,"New York Stock Exchange, Inc.",United States,United States,MSCI Inc,0C00000VEY,0P00009X3F,,,Financial Data & Stock Exchanges,7/5/2022,422.01,"34,234.74",0.02,45.19,679.85,376.41,1.13,5/12/2022,1.04,,4/26/2022,5/13/2022,5/31/2022,,0.99,,0.99,2.16,2.63,1.03,3/31/2022,9.12,"2,125.07",757.59,3.9,US Dollar,Yes,Yes,Financial Services,;;Securities and Commodity Exchanges;;;,;;;CREDIT REPORTING SERVICES;;;,,,,,,Financial Services,Consumer Finance & Credit Services,Financial data & systems,,Mid Growth,Cyclical,"Rajiv Bhatia, CFA",4/26/2022,Common Stock,,11/15/2007,,,,,,,,,,,,,,,,,,No
Nasdaq Inc,NDAQ,1120193,Nasdaq - All Markets,United States,United States,Nasdaq Inc,0C000008J5,0P000003RU,,,Financial Data & Stock Exchanges,7/5/2022,157.49,"25,935.10",0.04,21.89,214.96,140.31,0.98,6/9/2022,0.6,,4/20/2022,6/10/2022,6/24/2022,,1.41,,1.52,4.43,4.94,1.22,3/31/2022,6.97,"5,770.00","1,173.00",2.16,US Dollar,Yes,Yes,Financial Services,Securities and Commodity Exchanges;;,SECURITY & COMMODITY EXCHANGES;;,,,,,,Financial Services,Investment Banking & Brokerage,Securities brokerage & services,,Mid Blend,Cyclical,Michael Miller,5/26/2022,Common Stock,5/11/2012,7/1/2002,,,,,,,,,,,,,,,,,,No
NetApp Inc,NTAP,1002047,Nasdaq - All Markets,United States,United States,NetApp Inc,0C00000BS6,0P000003UY,,,Computer Hardware,7/5/2022,64.22,"14,204.85",0.06,15.95,96.82,61.26,1.07,7/7/2022,0.5,"[1997-12-19]	1.000000	2.000000;[1998-12-22]	1.000000	2.000000;[1999-12-21]	1.000000	2.000000;[2000-03-23]	1.000000	2.000000;",6/1/2022,7/8/2022,7/27/2022,,3.11,,3.11,6.37,8.45,2.29,4/30/2022,4.09,"6,318.00",937,2,US Dollar,Yes,Yes,Technology,Computer Storage Device Manufacturing,COMPUTER STORAGE DEVICES,,,,,,Technology,Information Technology,Computer technology,,Mid Blend,Cyclical,,8/25/2021,Common Stock,5/11/2012,11/21/1995,,,,,,,,,,,,,,,,,,No
Netflix Inc,NFLX,1065280,Nasdaq - All Markets,United States,United States,Netflix Inc,0C00000BRT,0P000003UP,,,Entertainment,7/5/2022,185.88,"82,581.62",0.06,15.87,700.99,162.71,0.66,,,"[2004-02-12]	1.000000	2.000000",,,,,,,,5.93,5.83,3.3,3/31/2022,11.02,"30,402.33","5,006.96",,US Dollar,Yes,Yes,Communication Services,;Motion Picture Theaters (except Drive-Ins);;;,";;MOTION PICTURE THEATERS, EXCEPT DRIVE-IN;;",,,,,,Consumer Discretionary,Retail,Specialty retail,,Large Growth,Aggressive Growth,"Neil Macker, CFA",4/20/2022,Common Stock,5/11/2012,5/23/2002,,,,,,,,,,,,,,,,,,No
